,specaugment0,specaugment1,specaugment2,specaugment3,specaugment4,specaugment5,specaugment6,specaugment7,specaugment8,specaugment9,specaugment10,specaugment11,specaugment12
104,-544.6864,144.36214,-12.112158,-0.068755984,-8.02848,2.2627199,-12.876731,-6.8735104,-5.6271405,-6.653843,-6.427771,-6.258485,-8.277392
105,-651.95703,142.92886,-9.695754,-0.16587634,-11.3257065,3.1044803,-10.505853,-5.648875,-5.1998334,-8.063706,-7.1734285,-7.705346,-5.3755274
106,-586.6374,143.53862,-12.630166,5.0635114,-10.039053,2.066248,-11.7046995,-4.337541,-5.8736215,-8.55004,-8.107198,-6.879086,-7.0404973
107,-692.3185,143.6962,-4.760504,-5.175223,-9.493351,-0.36868334,-4.9698424,-5.6712384,-5.4247828,-9.079783,-3.5769315,-4.7958508,-4.213717
108,-620.441,146.6599,-9.758023,-1.1774455,-9.670864,1.7764302,-8.022971,-3.7018402,-7.509335,-6.7995296,-4.242895,-4.8661757,-5.127781
109,-598.6482,156.43274,-11.930091,-7.0850735,-10.548384,0.5927252,-10.18426,-7.1084914,-9.131557,-6.7331686,-7.806483,-5.6184783,-5.1885023
110,-558.8268,151.76772,-11.968775,-1.4903966,-8.774051,3.173444,-8.380384,-4.727112,-8.749589,-7.761662,-5.292835,-5.3355994,-6.206636
111,-587.79645,141.43747,-27.5061,-1.4285513,-5.9401593,1.3207955,-12.053022,-7.197271,-6.8415246,-5.433042,-6.680882,-7.6222095,-7.6894584
112,-566.00574,137.7979,-6.3326216,5.0835643,-8.316972,0.9797763,-13.279626,-8.864342,-12.747765,-10.305568,-8.330276,-9.20617,-4.475306
113,-604.81726,143.59329,-18.940434,4.969412,-4.090261,3.9283216,-14.644379,-9.415251,-9.03144,-10.220063,-8.679612,-6.4802246,-7.568314
114,-621.6515,153.08897,-31.468325,-0.26247296,-6.798297,-1.491429,-14.158565,-9.639908,-9.920637,-9.373385,-5.786757,-8.914381,-7.4553733
115,-666.651,141.92773,-20.03768,1.2185743,-4.4448867,0.17585275,-12.011889,-9.235297,-7.1133657,-13.112988,-6.838148,-6.964104,-5.9432697
116,-621.13525,148.2755,-4.197606,0.4542066,-6.429922,-2.6707363,-19.19522,-14.360209,-10.890173,-5.5174212,-5.562007,-7.3793383,-8.274397
117,-717.3931,134.84325,-1.8549533,-3.3085632,-0.17420518,-4.425764,-15.270092,-12.3378,-4.922128,-5.762954,-3.8068986,-6.244148,-6.9522924
118,-690.48645,157.53635,-1.2031577,-6.2408137,-0.06585867,-6.608275,-20.39739,-17.067978,-7.7485595,-9.741174,-7.6858444,-7.009452,-5.837366
119,-692.1662,160.56087,0.47045425,-7.2925606,2.2941113,-11.38868,-26.052116,-15.164343,-6.8981934,-12.255386,-9.573119,-8.282002,-8.942214
120,-657.32043,164.48172,-2.875374,-2.1660094,-8.506265,-7.273816,-24.288359,-17.048903,-8.060317,-9.506265,-7.423223,-8.251246,-4.782988
121,-688.5797,149.6654,-2.6765068,-3.0047576,-5.04629,-5.643695,-19.484716,-17.41104,-5.741348,-4.726103,-4.6390924,-7.4218287,-4.98023
122,-709.18097,149.79848,-2.654345,-14.335165,-2.1104434,-10.705748,-19.787342,-12.038752,-7.6068006,-11.394861,-7.364609,-5.852472,-6.322649
123,-674.776,152.97885,-5.577517,-4.948702,-11.93857,-6.8687625,-14.829756,-10.244213,-5.7340794,-8.132282,-6.9928765,-8.259962,-5.3731885
124,-701.4624,146.42963,-1.7096847,-6.085984,-4.3834324,-7.008777,-16.148008,-13.328646,-7.212455,-8.759484,-7.245455,-8.230982,-6.4179597
125,-712.7793,145.13882,1.7751393,-10.468321,-5.5973506,-10.430957,-18.90152,-15.0512705,-9.540825,-10.039672,-9.062167,-8.241867,-6.3450837
126,-721.98035,142.08896,4.5570173,-9.747023,-2.3362012,-8.793046,-21.704903,-16.7293,-8.881379,-9.5451,-8.324009,-9.72598,-7.614794
127,-703.9095,149.72177,0.52623785,-8.020447,-2.6177225,-6.817753,-18.68082,-16.976177,-8.306188,-8.13722,-7.6679955,-8.43698,-5.949432
128,-672.4487,152.8579,-4.5341096,-2.26067,-6.924742,-4.543583,-19.302023,-13.974907,-7.7486696,-6.537338,-3.9169993,-7.99293,-7.327971
129,-685.96814,157.78795,-4.5202293,-9.136076,-3.4193592,-7.358879,-20.7939,-17.07172,-8.542632,-10.760231,-8.1095,-7.8493576,-5.0713043
130,-715.9744,150.76025,5.5402713,-14.76,-3.8873322,-9.562421,-21.50652,-15.28783,-8.360921,-10.393293,-9.5107765,-9.347239,-7.2638793
131,-700.63696,154.21793,2.4085987,-11.181257,-6.534498,-9.170321,-19.26234,-15.634347,-8.422607,-8.914225,-8.25801,-8.843989,-6.2818217
132,-716.4343,150.0188,11.820061,-7.422376,-5.2400913,-9.033746,-17.960102,-16.326145,-9.778432,-9.636759,-10.685077,-10.191056,-7.690606
133,-685.14874,158.40108,1.8626297,-6.923591,-10.083477,-9.132129,-16.619526,-14.386905,-9.43124,-12.334617,-12.593553,-8.942931,-3.2973018
134,-715.21765,154.28333,11.21917,-14.331415,-7.918118,-11.254612,-20.949152,-14.955905,-7.157664,-9.503127,-11.953306,-10.185729,-5.2732787
135,-680.07886,164.45078,5.4509134,-4.3155046,-7.263504,-8.789561,-20.53948,-18.11369,-9.703859,-11.208714,-11.722072,-11.82509,-7.077079
136,-701.3214,154.85338,9.931005,-2.6720834,-6.131651,-8.434266,-16.873596,-16.987411,-9.179839,-10.663222,-12.494936,-11.480686,-6.6260285
137,-700.99554,159.31874,12.118035,-7.8787694,-8.834008,-7.185749,-15.452819,-17.17642,-10.52778,-9.176291,-9.696325,-9.957585,-5.565125
138,-677.4109,168.0488,1.957678,-7.944239,-7.8139753,-8.027422,-12.157717,-10.676716,-6.7930617,-10.205028,-8.769545,-6.0145698,-4.3771634
139,-681.6005,149.91714,-3.3354886,-0.38584515,-4.6667128,-4.4808583,-17.76466,-13.982957,-7.423334,-7.8249006,-4.6882844,-6.3518677,-6.22406
140,-694.6199,164.96834,7.1647725,-12.226775,-8.739459,-10.445926,-15.725177,-15.183237,-9.658912,-9.98401,-8.90093,-8.345674,-6.623159
141,-692.0285,165.2498,3.2094758,-14.876217,-7.9705987,-8.056131,-13.946508,-16.400902,-11.085157,-8.620077,-8.143868,-8.145076,-5.777758
142,-692.34674,167.28235,9.261488,-10.564669,-6.1849933,-7.3805904,-13.872016,-14.585184,-10.244265,-10.175536,-9.80125,-7.81102,-4.9073114
